Signature,Block Time,Human Time,Action,From,To,Amount,Value,Decimals,Token Address, Multiplier
5dqgYLb7vaenmfJyd7nDhNDz6T1hH9iBTNbcnLWimyjHmeFDonGeZLHS5f91oJCsstCLHi4JZcJjascpbaRG89xc,1768525311,2026-01-16T01:01:51.000Z,BURN,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,,18070000000000,376.73,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
4LqtWCgXqpzuJj9yhsK282rJkMCEoPbLi25NYrpG3jjzkaWRzNxfcK6kkKPWEZV7MQnv3EuQ1WakjSwxC4cSSRqm,1768523583,2026-01-16T00:33:03.000Z,BURN,BURNNeQ2zERsVhL6GgJR45CvGtwdxHeWBs4B5V4zRFgL,,160694,0.000003432,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
2bDVHfdT1EtdqUriccWJftSHunHBS8YsrDuRoUmi6HJbz85xZCXx9ufzntpudMAt1QGH5uBuJFZ1Ky3pbvSstxBK,1768523577,2026-01-16T00:32:57.000Z,BURN,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,,1930000000000,41.22,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
48w6gWJa9MUHFX7kgtr7i4mCdxjZ6MWM7YewLCAoHv7BdP9TtL98ktLCekTA3g8u4c7JrYDtrZFHm4Xq7tCpCfsK,1768518336,2026-01-15T23:05:36.000Z,BURN,97inFecjdNtHsEBy7cMFdUEJALD2ZZ9SwoG7g5k7oRqX,,1,1.7e-11,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
5p8WzvdD4tHKYucmDwhxMz6Nmv2WrwEu7Uy9iDi7Qx8qwWqBsUZEmYR8iSE7dcn6B4tMXmZv51j1L6eCBrAJHoUA,1768438080,2026-01-15T00:48:00.000Z,BURN,HfmHRYDVbtzJEMUZugnNjAVCPT3bejvywstw2NykCAMN,,21013984765,0.3896,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
3z7XdABYdHqt9sGAjhv8pHw2QrB1hrSa1XJwKUaVaehKUMUby2zhqrZuZkM39godogb5UUE6pLaVcQpQiC7o7H5N,1768421338,2026-01-14T20:08:58.000Z,BURN,8H1yLTVvZCCxgsaYTwAhQnZCs3mReK7SkgSnNvaVTqfy,,1,2.3e-11,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
62UdEPwxVM8cjEvUeSW9gW5CeGyqYPDPixL8YMQNCbCfP9KNg4Y4zubjjjURavUZrAyFSY3sdaX4ZJpjWoefAeNi,1768406630,2026-01-14T16:03:50.000Z,BURN,5k4eTiV1Kxw5m3noCtb1TNgAmdJc8HzMjv7r9uqBp3j8,,1,2.5e-11,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
4kQ9ND4NTbqykdib7k3jxbr1U5YgeptZZZTagmKusdBNirpkKvbNtmHM4zYQMTDEBA4p5s7MbThguP2Q4iGM5dum,1768362830,2026-01-14T03:53:50.000Z,BURN,EGeNRu58UEqU1u1J5g8LZq25zJN1h6n4Sf2W3BNubRkP,,97083576,0.003053,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
3Mcm9qNwWY6P69J8LNoewTTFVUayXpbZt4gjBcCsNLWt4dnNRvtksAPWUVwGsYwxgfdf2g3KQzt4AoAr1kNGn7BF,1768357548,2026-01-14T02:25:48.000Z,BURN,Df8KkD5iDwyqhb2DiUUHKo1ZYbsm8ekHGrBkhon6cwz2,,23158972,0.0007002,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
3dSKFj6o1DJxjwhDa1vV4rv4r1bXZovcSoNDUB9YRmrNHMtPLfAEncxVvLwNsZ1f6QbqRTHQT4dPDpUTJd7A45mq,1768356624,2026-01-14T02:10:24.000Z,BURN,666V4HbB73nmNNXwQ1cx25RHYWw1G8RWtAzDaZh2Pdtw,,35268882139290,1134.36,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
23VnpWXwKzxgDx2LC9nUxUeMJygcS5ACc6rNqMyQGGmCbJKjG649g3oR6E7bbnj3qg13QLN54vcgDj8M3DxaXJoM,1768347017,2026-01-13T23:30:17.000Z,BURN,8aPiPQeLiFQvcEt8LBU9paHsUfu4Ufr1ZMAkttXgDSZ1,,0,0,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
343qhBvr1tMnqDdpzLayqCkfnPZcrgtS3qiDVaY1F3KtHiovX6FqzvTMELtHNiMJSTzQXZk7gopSaC7uY3no68As,1768345108,2026-01-13T22:58:28.000Z,BURN,8iVmcoWoFfN9HTe2iLjZymdVMUBrY38TVoPSnawjXouB,,8,7.5e-11,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
5hX2jcoi1Taevf9GtkvhD2dVokyYAYd583XxbqJnCKduYWYYJNpqiynSY9dXBEXz9Z1k5hiobhM1A4jUMbEBG7Ro,1768345065,2026-01-13T22:57:45.000Z,BURN,EGeNRu58UEqU1u1J5g8LZq25zJN1h6n4Sf2W3BNubRkP,,1,9e-12,6,7wVPhDegCLfcHcNdW1Z9Wbwd2HXMj3snLoiTeDNEpump,1.0
